11721,LOCAL,,bool first,10,,184,first,3,,bool
11744,LOCAL,,size_t len,16,,194,len,4,,size_t
11756,LOCAL,,config_chain_t* p_cfg,24,,199,p_cfg,7,,config_chain_t*
11856,LOCAL,,size_t len,12,,229,len,1,,size_t
11935,LOCAL,,config_chain_t* p_next,24,,258,p_next,1,,config_chain_t*
11970,LOCAL,,size_t plen,12,,275,plen,2,,size_t
11979,LOCAL,,size_t i,17,,278,i,1,,size_t
11991,LOCAL,,const char* optname,20,,280,optname,1,,char*
12006,LOCAL,,char[] name,14,,284,name,4,,char[]
12024,LOCAL,,module_config_t* p_conf,24,,290,p_conf,7,,module_config_t*
12116,LOCAL,,vlc_value_t val,21,,312,val,1,,vlc_value_t
12117,LOCAL,,bool b_yes,14,,313,b_yes,2,,bool
12121,LOCAL,,bool b_once,14,,314,b_once,4,,bool
12125,LOCAL,,module_config_t* p_conf,25,,315,p_conf,6,,module_config_t*
12126,LOCAL,,int i_type,13,,316,i_type,7,,int
12127,LOCAL,,size_t i,16,,317,i,8,,size_t
12248,LOCAL,,char[] name,14,,353,name,12,,char[]
12249,LOCAL,,const char* psz_name,20,,354,psz_name,13,,char*
12403,LOCAL,,vlc_value_t val2,25,,419,val2,1,,vlc_value_t
12449,LOCAL,,config_chain_t* p_dst,20,,438,p_dst,1,,config_chain_t*
12453,LOCAL,,config_chain_t** pp_last,20,,439,pp_last,3,,config_chain_t**
12469,LOCAL,,config_chain_t* p,24,,443,p,1,,config_chain_t*
12529,LOCAL,,char* psz_src,10,,458,psz_src,1,,char*
12533,LOCAL,,char* psz_dst,10,,459,psz_dst,3,,char*
12571,LOCAL,,size_t length,12,,476,length,1,,size_t
12584,LOCAL,,const char* p,21,,481,p,1,,char*
12600,LOCAL,,char* ret,10,,484,ret,5,,char*
12601,LOCAL,,char* dst,39,,484,dst,6,,char*
12620,LOCAL,,const char* p,21,,489,p,1,,char*
12686,LOCAL,,int i_cmd,9,,61,i_cmd,1,,int
12687,LOCAL,,int i_index,16,,61,i_index,2,,int
12688,LOCAL,,int i_opts,25,,61,i_opts,3,,int
12689,LOCAL,,int i_shortopts,33,,61,i_shortopts,4,,int
12690,LOCAL,,int flag,46,,61,flag,5,,int
12691,LOCAL,,int i_verbose,52,,61,i_verbose,6,,int
12695,LOCAL,,struct vlc_option* p_longopts,23,,62,p_longopts,8,,vlc_option*
